timestep_time,vehicle_CO,vehicle_CO2,vehicle_HC,vehicle_NOx,vehicle_PMx,vehicle_angle,vehicle_eclass,vehicle_electricity,vehicle_fuel,vehicle_id,vehicle_lane,vehicle_noise,vehicle_pos,vehicle_route,vehicle_speed,vehicle_type,vehicle_waiting,vehicle_x,vehicle_y
1.0,164.78,2624.72,0.81,1.2,0.07,357.0,HBEFA3/PC_G_EU4,0.0,1.13,veh1,-5338968#2_0,55.94,5.1,!veh1!var#1,0.0,veh_passenger,0.0,29252.01,24424.16
2.0,149.59,3770.59,0.77,1.68,0.08,356.91,HBEFA3/PC_G_EU4,0.0,1.62,veh1,-5338968#2_0,67.05,7.42,!veh1!var#1,2.32,veh_passenger,0.0,29251.89,24426.48
3.0,143.93,5255.34,0.78,2.32,0.11,356.91,HBEFA3/PC_G_EU4,0.0,2.26,veh1,-5338968#2_0,68.69,12.21,!veh1!var#1,4.78,veh_passenger,0.0,29251.63,24431.26
4.0,117.19,5042.82,0.65,2.17,0.1,359.03,HBEFA3/PC_G_EU4,0.0,2.17,veh1,-5338968#2_0,66.27,18.72,!veh1!var#1,6.51,veh_passenger,0.0,29251.46,24437.77
5.0,115.66,5968.58,0.67,2.56,0.12,359.62,HBEFA3/PC_G_EU4,0.0,2.57,veh1,-5338968#2_0,67.42,27.02,!veh1!var#1,8.3,veh_passenger,0.0,29251.41,24446.07
6.0,109.77,6504.63,0.65,2.77,0.13,359.62,HBEFA3/PC_G_EU4,0.0,2.8,veh1,-5338968#2_0,67.82,37.01,!veh1!var#1,9.99,veh_passenger,0.0,29251.34,24456.06
7.0,151.63,9460.68,0.92,4.11,0.2,359.62,HBEFA3/PC_G_EU4,0.0,4.07,veh1,-5338968#2_0,71.33,49.27,!veh1!var#1,12.26,veh_passenger,0.0,29251.26,24468.32
8.0,0.0,0.0,0.0,0.0,0.0,359.62,HBEFA3/PC_G_EU4,0.0,0.0,veh1,-5338968#2_0,55.05,57.74,!veh1!var#1,8.47,veh_passenger,0.0,29251.21,24476.79
9.0,0.0,0.0,0.0,0.0,0.0,359.62,HBEFA3/PC_G_EU4,0.0,0.0,veh1,-5338968#2_0,50.01,62.99,!veh1!var#1,5.26,veh_passenger,0.0,29251.17,24482.04
10.0,99.17,4136.25,0.55,1.74,0.08,347.5,HBEFA3/PC_G_EU4,0.0,1.78,veh1,:38093081_4_0,64.04,4.83,!veh1!var#1,6.46,veh_passenger,0.0,29250.09,24488.32
11.0,77.79,3543.63,0.44,1.44,0.06,293.9,HBEFA3/PC_G_EU4,0.0,1.52,veh1,:38093081_4_0,62.68,12.06,!veh1!var#1,7.23,veh_passenger,0.0,29244.45,24492.22
12.0,0.0,0.0,0.0,0.0,0.0,271.48,HBEFA3/PC_G_EU4,0.0,0.0,veh1,-5340539#5_0,59.29,5.09,!veh1!var#1,7.11,veh_passenger,0.0,29237.38,24492.69
13.0,152.91,8433.17,0.9,3.69,0.18,269.57,HBEFA3/PC_G_EU4,0.0,3.63,veh1,-5340539#5_0,71.12,14.72,!veh1!var#1,9.63,veh_passenger,0.0,29227.75,24492.76
